epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,367.14,1.27456,3.46612,1.2667,0.79006,0.76711,0.81568,0.56665,1.83931,5.99962,1.46123,0.000208253,0.000208253,0.000208253
2,727.285,1.28844,3.51308,1.27492,0.79472,0.7737,0.82616,0.57941,1.84016,5.86085,1.48802,0.000391591,0.000391591,0.000391591
3,1084.29,1.29642,3.53363,1.28439,0.78678,0.77356,0.81486,0.57854,1.75144,6.08788,1.45295,0.000549929,0.000549929,0.000549929
4,1439.89,1.28493,3.51189,1.27916,0.78308,0.77541,0.82772,0.5912,1.79909,5.63098,1.45569,0.0005125,0.0005125,0.0005125
5,1795.19,1.26738,3.50042,1.27364,0.78182,0.77361,0.81726,0.5739,1.83145,5.94379,1.46717,0.000475,0.000475,0.000475
6,2158.09,1.22817,3.24529,1.2594,0.78924,0.77577,0.82335,0.58132,1.8187,5.92699,1.47037,0.0004375,0.0004375,0.0004375
7,2504.59,1.22027,3.20497,1.25989,0.78253,0.77776,0.81749,0.56886,1.85865,5.99401,1.47944,0.0004,0.0004,0.0004
8,2850.52,1.20292,3.24875,1.25371,0.78496,0.76807,0.81431,0.5804,1.77974,5.97552,1.4437,0.0003625,0.0003625,0.0003625
9,3195.83,1.19448,3.24092,1.24707,0.78251,0.76417,0.80566,0.57465,1.75155,6.22129,1.41908,0.000325,0.000325,0.000325
10,3541.35,1.1822,3.20517,1.24073,0.77735,0.76429,0.80025,0.57155,1.76818,6.32356,1.43558,0.0002875,0.0002875,0.0002875
11,3886.8,1.17346,3.1916,1.23924,0.78445,0.76051,0.80087,0.57493,1.73876,6.3696,1.42648,0.00025,0.00025,0.00025
12,4232.79,1.17067,3.19124,1.23621,0.79433,0.77263,0.81479,0.58488,1.73434,6.08859,1.41863,0.0002125,0.0002125,0.0002125
