epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,418.197,3.21183,4.92843,3.20222,0.39842,0.52748,0.4302,0.24147,2.25399,3.38763,2.62545,0.00333167,0.00333167,0.00333167
2,837.448,2.6584,3.60584,2.77823,0.49118,0.54559,0.52458,0.24719,2.59576,3.39044,2.87446,0.00662101,0.00662101,0.00662101
3,1256.03,2.56971,3.38449,2.69752,0.51977,0.54971,0.54841,0.25854,2.62313,3.33691,2.88461,0.00986636,0.00986636,0.00986636
4,1674.02,2.50302,3.20161,2.65079,0.56983,0.56872,0.59775,0.33308,2.25107,2.98893,2.59543,0.009802,0.009802,0.009802
5,2092.02,2.39041,3.00164,2.5796,0.61587,0.58984,0.6372,0.38585,2.12034,2.7363,2.47705,0.009736,0.009736,0.009736
6,2506.98,2.31984,2.87162,2.52199,0.67721,0.62624,0.6918,0.38658,2.33546,2.69107,2.64523,0.00967,0.00967,0.00967
7,2921.82,2.27369,2.77994,2.49451,0.6635,0.62559,0.68114,0.38593,2.25353,2.70626,2.59031,0.009604,0.009604,0.009604
8,3336.58,2.23676,2.70393,2.46392,0.67735,0.63496,0.68806,0.4006,2.15266,2.68991,2.5077,0.009538,0.009538,0.009538
9,3748.78,2.19707,2.64042,2.44595,0.69191,0.65506,0.71523,0.43696,2.09987,2.5002,2.4554,0.009472,0.009472,0.009472
10,4165.17,2.1668,2.59726,2.42398,0.70958,0.65591,0.72196,0.44598,2.06116,2.43639,2.42444,0.009406,0.009406,0.009406
11,4573.38,2.14344,2.53445,2.4032,0.70547,0.64307,0.70667,0.44363,2.00218,2.55498,2.40752,0.00934,0.00934,0.00934
12,4982.27,2.12005,2.49886,2.3973,0.70444,0.67725,0.72419,0.44979,2.12625,2.38097,2.48536,0.009274,0.009274,0.009274
13,5390.51,2.08953,2.46915,2.37886,0.71758,0.66793,0.72934,0.45318,2.02902,2.45479,2.41833,0.009208,0.009208,0.009208
14,5799.52,2.08454,2.44589,2.37401,0.71772,0.67654,0.73222,0.45008,2.1247,2.40722,2.48703,0.009142,0.009142,0.009142
15,6208.51,2.05601,2.42145,2.35303,0.74414,0.69257,0.75477,0.4912,1.9094,2.26413,2.32735,0.009076,0.009076,0.009076
16,6616.07,2.04553,2.39379,2.35054,0.74205,0.68498,0.75372,0.4783,2.01545,2.26839,2.40845,0.00901,0.00901,0.00901
17,7021.7,2.03089,2.36607,2.33459,0.73499,0.69474,0.76086,0.4961,1.94334,2.22992,2.36002,0.008944,0.008944,0.008944
18,7429.14,2.02078,2.3703,2.32659,0.74428,0.7028,0.76868,0.49708,1.96733,2.20806,2.38541,0.008878,0.008878,0.008878
19,7834.76,2.00552,2.34174,2.31409,0.75398,0.69396,0.75889,0.4962,1.91606,2.25544,2.3307,0.008812,0.008812,0.008812
20,8242.45,2.00526,2.34959,2.3161,0.74175,0.70146,0.75978,0.49849,1.88361,2.24095,2.31593,0.008746,0.008746,0.008746
21,8650.97,1.98444,2.30605,2.30122,0.74692,0.72041,0.77312,0.50739,1.94588,2.16846,2.34384,0.00868,0.00868,0.00868
22,9063.08,1.97651,2.28841,2.29124,0.74931,0.71571,0.77794,0.50905,1.93928,2.16715,2.33661,0.008614,0.008614,0.008614
23,9468.58,1.95699,2.27146,2.28443,0.76672,0.72709,0.78869,0.50087,1.9944,2.18289,2.4023,0.008548,0.008548,0.008548
24,9875.46,1.96742,2.28384,2.28213,0.7511,0.72083,0.78143,0.50909,1.94664,2.20165,2.33486,0.008482,0.008482,0.008482
25,10281.1,1.94873,2.24644,2.27536,0.76671,0.7231,0.79025,0.50723,2.00372,2.1766,2.37468,0.008416,0.008416,0.008416
26,10685.7,1.93528,2.22898,2.2638,0.77171,0.73503,0.79805,0.52747,1.88656,2.0931,2.30875,0.00835,0.00835,0.00835
27,11093.8,1.9227,2.22113,2.26393,0.76283,0.71607,0.77546,0.51932,1.84027,2.15983,2.26158,0.008284,0.008284,0.008284
28,11500,1.92144,2.21329,2.26094,0.77265,0.74018,0.79943,0.52302,1.91408,2.11418,2.32771,0.008218,0.008218,0.008218
29,11905.5,1.9094,2.19419,2.25284,0.76429,0.72591,0.78704,0.50898,1.95001,2.14408,2.34057,0.008152,0.008152,0.008152
30,12311.4,1.91286,2.20009,2.24939,0.76136,0.73888,0.79223,0.5235,1.88516,2.15518,2.28289,0.008086,0.008086,0.008086
31,12717.9,1.90874,2.18475,2.23778,0.76642,0.73669,0.79392,0.51448,1.94119,2.15085,2.32591,0.00802,0.00802,0.00802
32,13124.4,1.90028,2.17083,2.23852,0.7829,0.73707,0.80157,0.54247,1.81659,2.05383,2.24229,0.007954,0.007954,0.007954
